Feature,Importance
brand,0.24575502019034492
brand_rank,0.2290985007581061
model_name,0.16748234899522121
car_age,0.1076830166479166
distance_travelled(kms),0.10343309974720062
year,0.09697419352821869
city,0.028578204074074444
fuel_type,0.020995616058917352
